4,radix2DitCooleyTykeyFft,61,11,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,83,27,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,83,37,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,83,37,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,83,68,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,84,39,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,84,49,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,84,49,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,84,80,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,86,39,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,86,49,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,86,49,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,86,80,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,87,39,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,87,49,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,87,49,mutator_vpa_n_operation,0
4,radix2DitCooleyTykeyFft,87,80,mutator_vpa_n_operation,0
